"lobbyistname","lobbyistlastname","lobbyistfirstname","lobbyistfirmname","lobbyistzip","primarylobbyistid","annuallobbyistregistrationid","billnumber","billinformation","clientname","clientzip","position","reportmonth","reportduedate","fiscalyear","rundate"
"Nuechterlein, Samantha Anne (The Capstone Group, LLC)","Nuechterlein","Samantha","The Capstone Group, LLC","80264","20195000427","20255085153","SB26-051","Age Attestation on Computing Devices","The Kempe Foundation","80045","Monitoring 02/24/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Espinoza, Angelique (Aligned Values ADvantage LLC)","Espinoza","Angelique","Aligned Values ADvantage LLC","80503","20255022509","20255093907","SB26-051","Age Attestation on Computing Devices","COLOR Action Fund","80204","Monitoring 02/06/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Wood, Jaedri Nichole","Wood","Jaedri",,"80203","20255104800","20255104800","SB26-051","Age Attestation on Computing Devices","Colorado Restaurant Association","80203","Monitoring 01/14/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Sewald Hanfling Public Affairs",,,"Sewald Hanfling Public Affairs","80204","20175030544","20255085108","SB26-051","Age Attestation on Computing Devices","Colorado Technology Association","80250","Amending 02/11/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Osse, Melissa YVE (Parker Strategies LLC)","Osse","Melissa","Parker Strategies LLC","80134","20245101758","20255085589","SB26-051","Age Attestation on Computing Devices","Lumen","71203","Monitoring 01/28/2026 to Ongoing","January","2026-02-17T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"The Capstone Group, LLC",,,"The Capstone Group, LLC","80264","20035003105","20255085150","SB26-051","Age Attestation on Computing Devices","The Kempe Foundation","80045","Monitoring 02/24/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Mercer, Sarah (Brownstein Hyatt Farber Schreck, LLP)","Mercer","Sarah","Brownstein Hyatt Farber Schreck, LLP","80202","20145020590","20255089755","SB26-051","Age Attestation on Computing Devices","Entertainment Software Association","20001","Amending 02/20/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Coleman, Timothy (Coleman Legislative Advocacy LLC)","Coleman","Timothy","Coleman Legislative Advocacy LLC","80033","20245091694","20255085916","SB26-051","Age Attestation on Computing Devices","Luminate Broadband","80487","Monitoring 02/26/2026 to Ongoing, Monitoring 02/26/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Colorado Legislative Strategies",,,"Colorado Legislative Strategies","80203","20025002196","20255091147","SB26-051","Age Attestation on Computing Devices","TechNet","95814","Monitoring 03/02/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Lo, Elizabeth (HB STRATEGIES)","Lo","Elizabeth","HB STRATEGIES","80202","20235000348","20255095171","SB26-051","Age Attestation on Computing Devices","MPAA (Motion Picture Association of America)","20006","Amending 02/06/2026 to 02/19/2026, Opposing 02/19/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
